year,geo_abr,geo_name,question,value,topic,unit,break_out,indicator
2020,OR,Oregon,Prevention Programs,Yes,Programs,,School-based or school-linked sealant programs,Prevention Programs: School-based or school-linked sealant programs
2016,MN,Minnesota,State dental director/program manager position requirement,Yes,Leadership,,Public health experience,State dental director/program manager position requirement: Public health experience
2019,GA,Georgia,Oral health (open-mouth) surveys using Basic Screening Survey protocol,Yes,Programs,,,Oral health (open-mouth) surveys using Basic Screening Survey protocol
2018,MO,Missouri,"Statewide, broad-based oral health coalition",Yes,Leadership,,,"Statewide, broad-based oral health coalition"
2017,GA,Georgia,Special populations programs,Yes,Programs,,For pregnant women,Special populations programs: For pregnant women
2017,ND,North Dakota,Statutory requirement or authority,No,Leadership,,For state dental director,Statutory requirement or authority: For state dental director
2017,HI,Hawaii,Prevention Programs,No,Programs,,School-based or school-linked sealant programs,Prevention Programs: School-based or school-linked sealant programs
2011,AR,Arkansas,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program,0,Staff,FTE,Not directly supervised by state health agency staff,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program: Not directly supervised by state health agency staff
2020,WV,West Virginia,Prevention Programs,No,Programs,,Early Childhood Caries (ECC) prevention programs,Prevention Programs: Early Childhood Caries (ECC) prevention programs
2013,KS,Kansas,Prevention Programs,Yes,Programs,,School-based or school-linked sealant programs,Prevention Programs: School-based or school-linked sealant programs
2020,MD,Maryland,Prevention Programs,Yes,Programs,,Fluoride varnish programs,Prevention Programs: Fluoride varnish programs
2011,MI,Michigan,Special populations programs,No,Programs,,For pregnant women,Special populations programs: For pregnant women
2020,VT,Vermont,"Statewide, broad-based oral health coalition",No,Leadership,,,"Statewide, broad-based oral health coalition"
2016,AL,Alabama,Statutory requirement or authority,No,Leadership,,For oral health program,Statutory requirement or authority: For oral health program
2012,CO,Colorado,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program,1,Staff,FTE,Not directly supervised by state health agency staff,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program: Not directly supervised by state health agency staff
2014,AK,Alaska,Years in current dental director position,20,Leadership,years,,Years in current dental director position
2014,AL,Alabama,State dental director/program manager position requirement,No,Leadership,,Public health degree,State dental director/program manager position requirement: Public health degree
2017,NY,New York,Special populations programs,Yes,Programs,,For pregnant women,Special populations programs: For pregnant women
2019,NH,New Hampshire,Statutory requirement or authority,No,Leadership,,For oral health program,Statutory requirement or authority: For oral health program
2011,AZ,Arizona,Prevention Programs,Yes,Programs,,Dental screening programs,Prevention Programs: Dental screening programs
2012,ID,Idaho,Statutory requirement or authority,No,Leadership,,For state dental director,Statutory requirement or authority: For state dental director
2015,WV,West Virginia,"Statewide, broad-based oral health coalition",Yes,Leadership,,,"Statewide, broad-based oral health coalition"
2017,ME,Maine,"Statewide, broad-based oral health coalition",,Leadership,,,"Statewide, broad-based oral health coalition"
2014,NV,Nevada,Prevention Programs,Yes,Programs,,School-based or school-linked sealant programs,Prevention Programs: School-based or school-linked sealant programs
2017,CO,Colorado,Statutory requirement or authority,No,Leadership,,For oral health program,Statutory requirement or authority: For oral health program
2019,PA,Pennsylvania,Statutory requirement or authority,Yes,Leadership,,For state dental director,Statutory requirement or authority: For state dental director
2016,AR,Arkansas,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program,3,Staff,FTE,Directly supervised by state health agency staff,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program: Directly supervised by state health agency staff
2011,SC,South Carolina,Current state dental director,Yes,Leadership,,,Current state dental director
2014,DE,Delaware,Current state dental director,Yes,Leadership,,,Current state dental director
2016,ME,Maine,Current state dental director,No,Leadership,,,Current state dental director
2019,LA,Louisiana,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program,0,Staff,FTE,Not directly supervised by state health agency staff,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program: Not directly supervised by state health agency staff
2019,NM,New Mexico,Current state dental director,Permanent,Leadership,,,Current state dental director
2019,LA,Louisiana,Prevention Programs,Yes,Programs,,Early Childhood Caries (ECC) prevention programs,Prevention Programs: Early Childhood Caries (ECC) prevention programs
2017,NY,New York,System for children with cleft lips/cleft palates,No,Programs,,System for referring children with cleft lips/cleft palates to rehabilitative teams,System for children with cleft lips/cleft palates: System for referring children with cleft lips/cleft palates to rehabilitative teams
2016,WI,Wisconsin,"Number of health agencies serving jurisdictions of 250,000+ population",2,Leadership,agencies,With a dental program,"Number of health agencies serving jurisdictions of 250,000+ population: With a dental program"
2014,CT,Connecticut,State dental director/program manager position requirement,Yes,Leadership,,Full-time,State dental director/program manager position requirement: Full-time
2014,DC,District of Columbia,System for children with cleft lips/cleft palates,No,Programs,,System for referring children with cleft lips/cleft palates to rehabilitative teams,System for children with cleft lips/cleft palates: System for referring children with cleft lips/cleft palates to rehabilitative teams
2019,NE,Nebraska,Prevention Programs,Yes,Programs,,Early Childhood Caries (ECC) prevention programs,Prevention Programs: Early Childhood Caries (ECC) prevention programs
2020,ID,Idaho,"Statewide, broad-based oral health coalition",Yes,Leadership,,,"Statewide, broad-based oral health coalition"
2014,TX,Texas,Special populations programs,Yes,Programs,,For pregnant women,Special populations programs: For pregnant women
2011,MI,Michigan,System for children with cleft lips/cleft palates,,Programs,,System for referring children with cleft lips/cleft palates to rehabilitative teams,System for children with cleft lips/cleft palates: System for referring children with cleft lips/cleft palates to rehabilitative teams
2014,MS,Mississippi,State dental director/program manager position requirement,Yes,Leadership,,Full-time,State dental director/program manager position requirement: Full-time
2020,AL,Alabama,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program,4,Staff,FTE,Directly supervised by state health agency staff,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program: Directly supervised by state health agency staff
2013,MS,Mississippi,Current state dental director,Yes,Leadership,,,Current state dental director
2014,MD,Maryland,Statutory requirement or authority,Yes,Leadership,,For oral health program,Statutory requirement or authority: For oral health program
2012,AR,Arkansas,Prevention Programs,Yes,Programs,,School-based or school-linked sealant programs,Prevention Programs: School-based or school-linked sealant programs
2019,DE,Delaware,State dental director/program manager position requirement,No,Leadership,,Public health degree,State dental director/program manager position requirement: Public health degree
2012,HI,Hawaii,Prevention Programs,,Programs,,School-based or school-linked sealant programs,Prevention Programs: School-based or school-linked sealant programs
2018,IN,Indiana,Prevention Programs,No,Programs,,Dental screening programs,Prevention Programs: Dental screening programs
2013,VA,Virginia,"Number of health agencies serving jurisdictions of 250,000+ population",0,Leadership,agencies,With a dental program directed by a dental professional with graduate degree in public health,"Number of health agencies serving jurisdictions of 250,000+ population: With a dental program directed by a dental professional with graduate degree in public health"
2012,UT,Utah,Oral health (open-mouth) surveys using Basic Screening Survey protocol,Yes,Programs,,,Oral health (open-mouth) surveys using Basic Screening Survey protocol
2017,WV,West Virginia,Prevention Programs,Yes,Programs,,School-based or school-linked sealant programs,Prevention Programs: School-based or school-linked sealant programs
2016,OH,Ohio,Prevention Programs,Yes,Programs,,Early Childhood Caries (ECC) prevention programs,Prevention Programs: Early Childhood Caries (ECC) prevention programs
2014,GA,Georgia,Special populations programs,No,Programs,,For older adults,Special populations programs: For older adults
2019,OR,Oregon,Dental director position type,Civil Service,Leadership,multiple choice,,Dental director position type
2020,NC,North Carolina,Current state dental director,Yes,Leadership,,,Current state dental director
2019,NM,New Mexico,State dental director/program manager position requirement,Yes,Leadership,,Full-time,State dental director/program manager position requirement: Full-time
2012,WA,Washington,Years in current dental director position,7,Leadership,years,,Years in current dental director position
2019,OR,Oregon,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program,15,Staff,FTE,Total,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program: Total
2018,HI,Hawaii,"Statewide, broad-based oral health coalition",Yes,Leadership,,,"Statewide, broad-based oral health coalition"
2013,AR,Arkansas,Prevention Programs,Yes,Programs,,Early Childhood Caries (ECC) prevention programs,Prevention Programs: Early Childhood Caries (ECC) prevention programs
2017,ME,Maine,Prevention Programs,,Programs,,Early Childhood Caries (ECC) prevention programs,Prevention Programs: Early Childhood Caries (ECC) prevention programs
2018,SC,South Carolina,Current state dental director,Yes,Leadership,,,Current state dental director
2020,AK,Alaska,State dental director/program manager position requirement,No,Leadership,,Public health experience,State dental director/program manager position requirement: Public health experience
2014,DC,District of Columbia,Statutory requirement or authority,No,Leadership,,For oral health program,Statutory requirement or authority: For oral health program
2013,HI,Hawaii,"Number of health agencies serving jurisdictions of 250,000+ population",1,Leadership,agencies,Total,"Number of health agencies serving jurisdictions of 250,000+ population: Total"
2013,VA,Virginia,"Statewide, broad-based oral health coalition",,Leadership,,,"Statewide, broad-based oral health coalition"
2017,SC,South Carolina,Years in current dental director position,1,Leadership,years,,Years in current dental director position
2016,CO,Colorado,"Number of health agencies serving jurisdictions of 250,000+ population",4,Leadership,agencies,With a dental program,"Number of health agencies serving jurisdictions of 250,000+ population: With a dental program"
2013,CT,Connecticut,Prevention Programs,Yes,Programs,,Early Childhood Caries (ECC) prevention programs,Prevention Programs: Early Childhood Caries (ECC) prevention programs
2012,CA,California,Current state dental director,Yes,Leadership,,,Current state dental director
2015,AK,Alaska,State dental director/program manager position requirement,No,Leadership,,Public health degree,State dental director/program manager position requirement: Public health degree
2018,HI,Hawaii,Prevention Programs,No,Programs,,Fluoride varnish programs,Prevention Programs: Fluoride varnish programs
2017,SC,South Carolina,Special populations programs,No,Programs,,For older adults,Special populations programs: For older adults
2020,NH,New Hampshire,Current state dental director,Yes,Leadership,,,Current state dental director
2013,MN,Minnesota,"Number of health agencies serving jurisdictions of 250,000+ population",1,Leadership,agencies,With a dental program directed by a dental professional with graduate degree in public health,"Number of health agencies serving jurisdictions of 250,000+ population: With a dental program directed by a dental professional with graduate degree in public health"
2012,WI,Wisconsin,Statutory requirement or authority,No,Leadership,,For oral health program,Statutory requirement or authority: For oral health program
2011,MA,Massachusetts,State dental director/program manager position requirement,Yes,Leadership,,Full-time,State dental director/program manager position requirement: Full-time
2012,RI,Rhode Island,State dental director/program manager position requirement,No,Leadership,,Public health experience,State dental director/program manager position requirement: Public health experience
2019,IA,Iowa,State dental director/program manager position requirement,No,Leadership,,Public health degree,State dental director/program manager position requirement: Public health degree
2013,UT,Utah,Special populations programs,,Programs,,For older adults,Special populations programs: For older adults
2016,WY,Wyoming,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program,0,Staff,FTE,Not directly supervised by state health agency staff,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program: Not directly supervised by state health agency staff
2015,WY,Wyoming,State dental director/program manager position requirement,No,Leadership,,Public health experience,State dental director/program manager position requirement: Public health experience
2018,NJ,New Jersey,State dental director/program manager position requirement,Yes,Leadership,,Public health experience,State dental director/program manager position requirement: Public health experience
2018,TX,Texas,Prevention Programs,Yes,Programs,,Fluoride varnish programs,Prevention Programs: Fluoride varnish programs
2020,DE,Delaware,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program,20,Staff,FTE,Total,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program: Total
2017,NC,North Carolina,State dental director/program manager position requirement,Yes,Leadership,,Full-time,State dental director/program manager position requirement: Full-time
2018,OH,Ohio,State dental director/program manager position requirement,,Leadership,,Public health experience,State dental director/program manager position requirement: Public health experience
2018,ND,North Dakota,State dental director/program manager position requirement,Yes,Leadership,,Full-time,State dental director/program manager position requirement: Full-time
2020,AK,Alaska,Prevention Programs,No,Programs,,Early Childhood Caries (ECC) prevention programs,Prevention Programs: Early Childhood Caries (ECC) prevention programs
2016,ND,North Dakota,Dental director position type,Civil Service,Leadership,multiple choice,,Dental director position type
2018,MA,Massachusetts,"Number of health agencies serving jurisdictions of 250,000+ population",1,Leadership,agencies,With a dental program directed by a dental professional,"Number of health agencies serving jurisdictions of 250,000+ population: With a dental program directed by a dental professional"
2012,SD,South Dakota,"Number of health agencies serving jurisdictions of 250,000+ population",1,Leadership,agencies,With a dental program directed by a dental professional,"Number of health agencies serving jurisdictions of 250,000+ population: With a dental program directed by a dental professional"
2013,SD,South Dakota,"Number of health agencies serving jurisdictions of 250,000+ population",1,Leadership,agencies,With a dental program directed by a dental professional,"Number of health agencies serving jurisdictions of 250,000+ population: With a dental program directed by a dental professional"
2012,NC,North Carolina,Special populations programs,,Programs,,For older adults,Special populations programs: For older adults
2019,UT,Utah,State dental director/program manager position requirement,No,Leadership,,Public health degree,State dental director/program manager position requirement: Public health degree
2019,MS,Mississippi,Statutory requirement or authority,Yes,Leadership,,For oral health program,Statutory requirement or authority: For oral health program
2017,CO,Colorado,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program,3.5,Staff,FTE,Not directly supervised by state health agency staff,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program: Not directly supervised by state health agency staff
2012,PA,Pennsylvania,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program,0,Staff,FTE,Not directly supervised by state health agency staff,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program: Not directly supervised by state health agency staff
2017,IN,Indiana,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program,5.62,Staff,FTE,Total,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program: Total
2018,NC,North Carolina,Special populations programs,Yes,Programs,,For older adults,Special populations programs: For older adults
2016,AL,Alabama,State dental director/program manager position requirement,Yes,Leadership,,Full-time,State dental director/program manager position requirement: Full-time
2013,VT,Vermont,Statutory requirement or authority,Yes,Leadership,,For oral health program,Statutory requirement or authority: For oral health program
2015,UT,Utah,Statutory requirement or authority,Yes,Leadership,,For state dental director,Statutory requirement or authority: For state dental director
2012,WA,Washington,Statutory requirement or authority,No,Leadership,,For state dental director,Statutory requirement or authority: For state dental director
2019,KY,Kentucky,"Number of health agencies serving jurisdictions of 250,000+ population",3,Leadership,agencies,Total,"Number of health agencies serving jurisdictions of 250,000+ population: Total"
2012,IN,Indiana,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program,7,Staff,FTE,Not directly supervised by state health agency staff,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program: Not directly supervised by state health agency staff
2011,MT,Montana,Statutory requirement or authority,No,Leadership,,For state dental director,Statutory requirement or authority: For state dental director
2013,WY,Wyoming,Prevention Programs,Yes,Programs,,Early Childhood Caries (ECC) prevention programs,Prevention Programs: Early Childhood Caries (ECC) prevention programs
2016,MO,Missouri,"Number of health agencies serving jurisdictions of 250,000+ population",,Leadership,agencies,With a dental program,"Number of health agencies serving jurisdictions of 250,000+ population: With a dental program"
2014,KY,Kentucky,State dental director/program manager position requirement,Yes,Leadership,,Public health experience,State dental director/program manager position requirement: Public health experience
2012,NH,New Hampshire,"Number of health agencies serving jurisdictions of 250,000+ population",3,Leadership,agencies,Total,"Number of health agencies serving jurisdictions of 250,000+ population: Total"
2017,MD,Maryland,State dental director/program manager position requirement,Yes,Leadership,,Full-time,State dental director/program manager position requirement: Full-time
2016,IA,Iowa,"Number of health agencies serving jurisdictions of 250,000+ population",1,Leadership,agencies,With a dental program directed by a dental professional,"Number of health agencies serving jurisdictions of 250,000+ population: With a dental program directed by a dental professional"
2019,CA,California,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program,0,Staff,FTE,Not directly supervised by state health agency staff,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program: Not directly supervised by state health agency staff
2018,AZ,Arizona,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program,3,Staff,FTE,Not directly supervised by state health agency staff,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program: Not directly supervised by state health agency staff
2017,MS,Mississippi,Special populations programs,No,Programs,,For pregnant women,Special populations programs: For pregnant women
2015,LA,Louisiana,Current state dental director,Yes,Leadership,,,Current state dental director
2020,FL,Florida,Current state dental director,Yes,Leadership,,,Current state dental director
2011,TX,Texas,Oral health (open-mouth) surveys using Basic Screening Survey protocol,No,Programs,,,Oral health (open-mouth) surveys using Basic Screening Survey protocol
2013,MI,Michigan,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program,6,Staff,FTE,Total,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program: Total
2019,NM,New Mexico,"Number of health agencies serving jurisdictions of 250,000+ population",0,Leadership,agencies,With a dental program directed by a dental professional,"Number of health agencies serving jurisdictions of 250,000+ population: With a dental program directed by a dental professional"
2014,HI,Hawaii,Dental director position type,,Leadership,multiple choice,,Dental director position type
2017,LA,Louisiana,Statutory requirement or authority,No,Leadership,,For oral health program,Statutory requirement or authority: For oral health program
2016,NY,New York,"Number of health agencies serving jurisdictions of 250,000+ population",1,Leadership,agencies,With a dental program directed by a dental professional with graduate degree in public health,"Number of health agencies serving jurisdictions of 250,000+ population: With a dental program directed by a dental professional with graduate degree in public health"
2011,IL,Illinois,State dental director/program manager position requirement,,Leadership,,Public health degree,State dental director/program manager position requirement: Public health degree
2014,OK,Oklahoma,"Statewide, broad-based oral health coalition",,Leadership,,,"Statewide, broad-based oral health coalition"
2016,NC,North Carolina,Prevention Programs,Yes,Programs,,Dental screening programs,Prevention Programs: Dental screening programs
2014,MS,Mississippi,Requirement or mandate for a dental health screening or certificate at school entry,,Policies,,,Requirement or mandate for a dental health screening or certificate at school entry
2015,SD,South Dakota,Requirement or mandate for a dental health screening or certificate at school entry,No,Policies,,,Requirement or mandate for a dental health screening or certificate at school entry
2015,ME,Maine,Statutory requirement or authority,Yes,Leadership,,For oral health program,Statutory requirement or authority: For oral health program
2016,IN,Indiana,"Number of health agencies serving jurisdictions of 250,000+ population",3,Leadership,agencies,With a dental program,"Number of health agencies serving jurisdictions of 250,000+ population: With a dental program"
2019,MS,Mississippi,Prevention Programs,Yes,Programs,,Early Childhood Caries (ECC) prevention programs,Prevention Programs: Early Childhood Caries (ECC) prevention programs
2019,GA,Georgia,System for children with cleft lips/cleft palates,Yes,Programs,,System for referring children with cleft lips/cleft palates to rehabilitative teams,System for children with cleft lips/cleft palates: System for referring children with cleft lips/cleft palates to rehabilitative teams
2014,DC,District of Columbia,Prevention Programs,Yes,Programs,,Dental screening programs,Prevention Programs: Dental screening programs
2014,NJ,New Jersey,"Number of health agencies serving jurisdictions of 250,000+ population",17,Leadership,agencies,Total,"Number of health agencies serving jurisdictions of 250,000+ population: Total"
2016,PA,Pennsylvania,Special populations programs,Yes,Programs,,For pregnant women,Special populations programs: For pregnant women
2013,MI,Michigan,Requirement or mandate for a dental health screening or certificate at school entry,,Policies,,,Requirement or mandate for a dental health screening or certificate at school entry
2012,NC,North Carolina,Current state dental director,Yes,Leadership,,,Current state dental director
2013,CT,Connecticut,Prevention Programs,No,Programs,,Dental screening programs,Prevention Programs: Dental screening programs
2012,OH,Ohio,State dental director/program manager position requirement,Yes,Leadership,,Public health experience,State dental director/program manager position requirement: Public health experience
2013,UT,Utah,Requirement or mandate for a dental health screening or certificate at school entry,,Policies,,,Requirement or mandate for a dental health screening or certificate at school entry
2011,AL,Alabama,Prevention Programs,No,Programs,,Fluoride varnish programs,Prevention Programs: Fluoride varnish programs
2011,OH,Ohio,System for children with cleft lips/cleft palates,,Programs,,"System for recording children with cleft lips, palates, and other craniofacial anomalies","System for children with cleft lips/cleft palates: System for recording children with cleft lips, palates, and other craniofacial anomalies"
2011,ID,Idaho,"Number of health agencies serving jurisdictions of 250,000+ population",,Leadership,agencies,Total,"Number of health agencies serving jurisdictions of 250,000+ population: Total"
2017,UT,Utah,Dental director position type,Civil Service,Leadership,multiple choice,,Dental director position type
2018,WI,Wisconsin,Special populations programs,No,Programs,,For pregnant women,Special populations programs: For pregnant women
2014,MA,Massachusetts,Oral health (open-mouth) surveys using Basic Screening Survey protocol,No,Programs,,,Oral health (open-mouth) surveys using Basic Screening Survey protocol
2016,OK,Oklahoma,Special populations programs,Yes,Programs,,For pregnant women,Special populations programs: For pregnant women
2017,OR,Oregon,Special populations programs,No,Programs,,For pregnant women,Special populations programs: For pregnant women
2015,HI,Hawaii,System for children with cleft lips/cleft palates,Yes,Programs,,System for referring children with cleft lips/cleft palates to rehabilitative teams,System for children with cleft lips/cleft palates: System for referring children with cleft lips/cleft palates to rehabilitative teams
2017,MI,Michigan,System for children with cleft lips/cleft palates,Yes,Programs,,"System for recording children with cleft lips, palates, and other craniofacial anomalies","System for children with cleft lips/cleft palates: System for recording children with cleft lips, palates, and other craniofacial anomalies"
2015,AZ,Arizona,Prevention Programs,Yes,Programs,,Fluoride varnish programs,Prevention Programs: Fluoride varnish programs
2016,LA,Louisiana,Statutory requirement or authority,No,Leadership,,For state dental director,Statutory requirement or authority: For state dental director
2013,ME,Maine,Prevention Programs,Yes,Programs,,School-based or school-linked sealant programs,Prevention Programs: School-based or school-linked sealant programs
2016,OK,Oklahoma,Statutory requirement or authority,Yes,Leadership,,For oral health program,Statutory requirement or authority: For oral health program
2013,AL,Alabama,Special populations programs,,Programs,,For older adults,Special populations programs: For older adults
2011,MO,Missouri,Special populations programs,No,Programs,,For pregnant women,Special populations programs: For pregnant women
2020,AZ,Arizona,Special populations programs,Yes,Programs,,For pregnant women,Special populations programs: For pregnant women
2018,TX,Texas,State dental director/program manager position requirement,No,Leadership,,Public health degree,State dental director/program manager position requirement: Public health degree
2015,RI,Rhode Island,Special populations programs,No,Programs,,For older adults,Special populations programs: For older adults
2013,CA,California,"Number of health agencies serving jurisdictions of 250,000+ population",6,Leadership,agencies,With a dental program directed by a dental professional,"Number of health agencies serving jurisdictions of 250,000+ population: With a dental program directed by a dental professional"
2013,NE,Nebraska,Years in current dental director position,Vacant,Leadership,years,,Years in current dental director position
2012,VT,Vermont,Statutory requirement or authority,Yes,Leadership,,For oral health program,Statutory requirement or authority: For oral health program
2020,KY,Kentucky,Oral health (open-mouth) surveys using Basic Screening Survey protocol,No,Programs,,,Oral health (open-mouth) surveys using Basic Screening Survey protocol
2019,AR,Arkansas,System for children with cleft lips/cleft palates,Yes,Programs,,"System for recording children with cleft lips, palates, and other craniofacial anomalies","System for children with cleft lips/cleft palates: System for recording children with cleft lips, palates, and other craniofacial anomalies"
2013,LA,Louisiana,System for children with cleft lips/cleft palates,Yes,Programs,,System for referring children with cleft lips/cleft palates to rehabilitative teams,System for children with cleft lips/cleft palates: System for referring children with cleft lips/cleft palates to rehabilitative teams
2018,KY,Kentucky,Requirement or mandate for a dental health screening or certificate at school entry,Yes,Policies,,,Requirement or mandate for a dental health screening or certificate at school entry
2019,ME,Maine,Years in current dental director position,2,Leadership,years,,Years in current dental director position
2020,RI,Rhode Island,State dental director/program manager position requirement,Yes,Leadership,,Full-time,State dental director/program manager position requirement: Full-time
2018,AR,Arkansas,State dental director/program manager position requirement,No,Leadership,,Public health degree,State dental director/program manager position requirement: Public health degree
2018,ID,Idaho,Years in current dental director position,4,Leadership,years,,Years in current dental director position
2014,OH,Ohio,Current state dental director,Yes,Leadership,,,Current state dental director
2016,NE,Nebraska,Prevention Programs,Yes,Programs,,Dental screening programs,Prevention Programs: Dental screening programs
2016,NJ,New Jersey,"Number of health agencies serving jurisdictions of 250,000+ population",17,Leadership,agencies,Total,"Number of health agencies serving jurisdictions of 250,000+ population: Total"
2018,IN,Indiana,"Statewide, broad-based oral health coalition",Yes,Leadership,,,"Statewide, broad-based oral health coalition"
2013,AZ,Arizona,"Number of health agencies serving jurisdictions of 250,000+ population",2,Leadership,agencies,With a dental program directed by a dental professional,"Number of health agencies serving jurisdictions of 250,000+ population: With a dental program directed by a dental professional"
2017,ID,Idaho,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program,10.65,Staff,FTE,Total,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program: Total
2013,WY,Wyoming,"Number of health agencies serving jurisdictions of 250,000+ population",0,Leadership,agencies,With a dental program directed by a dental professional with graduate degree in public health,"Number of health agencies serving jurisdictions of 250,000+ population: With a dental program directed by a dental professional with graduate degree in public health"
2019,HI,Hawaii,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program,2,Staff,FTE,Directly supervised by state health agency staff,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program: Directly supervised by state health agency staff
2016,ME,Maine,"Number of health agencies serving jurisdictions of 250,000+ population",1,Leadership,agencies,Total,"Number of health agencies serving jurisdictions of 250,000+ population: Total"
2017,ME,Maine,System for children with cleft lips/cleft palates,,Programs,,System for referring children with cleft lips/cleft palates to rehabilitative teams,System for children with cleft lips/cleft palates: System for referring children with cleft lips/cleft palates to rehabilitative teams
2016,CA,California,Prevention Programs,No,Programs,,Dental screening programs,Prevention Programs: Dental screening programs
2014,MO,Missouri,"Number of health agencies serving jurisdictions of 250,000+ population",2,Leadership,agencies,With a dental program directed by a dental professional,"Number of health agencies serving jurisdictions of 250,000+ population: With a dental program directed by a dental professional"
2012,NV,Nevada,Requirement or mandate for a dental health screening or certificate at school entry,,Policies,,,Requirement or mandate for a dental health screening or certificate at school entry
2012,MA,Massachusetts,Special populations programs,No,Programs,,For pregnant women,Special populations programs: For pregnant women
2011,WV,West Virginia,"Number of health agencies serving jurisdictions of 250,000+ population",1,Leadership,agencies,Total,"Number of health agencies serving jurisdictions of 250,000+ population: Total"
2013,RI,Rhode Island,Years in current dental director position,4,Leadership,years,,Years in current dental director position
2018,TX,Texas,Prevention Programs,Yes,Programs,,Dental screening programs,Prevention Programs: Dental screening programs
2019,KY,Kentucky,Years in current dental director position,11,Leadership,years,,Years in current dental director position
2012,KS,Kansas,Requirement or mandate for a dental health screening or certificate at school entry,,Policies,,,Requirement or mandate for a dental health screening or certificate at school entry
2015,IA,Iowa,State dental director/program manager position requirement,Yes,Leadership,,Full-time,State dental director/program manager position requirement: Full-time
2015,NM,New Mexico,Prevention Programs,Yes,Programs,,Dental screening programs,Prevention Programs: Dental screening programs
2017,MT,Montana,Years in current dental director position,3,Leadership,years,,Years in current dental director position
2018,DC,District of Columbia,Current state dental director,No,Leadership,,,Current state dental director
2016,CA,California,System for children with cleft lips/cleft palates,Yes,Programs,,"System for recording children with cleft lips, palates, and other craniofacial anomalies","System for children with cleft lips/cleft palates: System for recording children with cleft lips, palates, and other craniofacial anomalies"
2014,ME,Maine,Requirement or mandate for a dental health screening or certificate at school entry,,Policies,,,Requirement or mandate for a dental health screening or certificate at school entry
2014,ND,North Dakota,State dental director/program manager position requirement,Yes,Leadership,,Full-time,State dental director/program manager position requirement: Full-time
2014,NJ,New Jersey,Current state dental director,Yes,Leadership,,,Current state dental director
2014,RI,Rhode Island,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program,2.2,Staff,FTE,Total,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program: Total
2014,MD,Maryland,Prevention Programs,Yes,Programs,,Dental screening programs,Prevention Programs: Dental screening programs
2012,AR,Arkansas,Statutory requirement or authority,Yes,Leadership,,For oral health program,Statutory requirement or authority: For oral health program
2018,NE,Nebraska,"Number of health agencies serving jurisdictions of 250,000+ population",3,Leadership,agencies,Total,"Number of health agencies serving jurisdictions of 250,000+ population: Total"
2020,MI,Michigan,Statutory requirement or authority,No,Leadership,,For oral health program,Statutory requirement or authority: For oral health program
2017,ND,North Dakota,Current state dental director,Yes,Leadership,,,Current state dental director
2018,ND,North Dakota,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program,5.8,Staff,FTE,Total,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program: Total
2018,OR,Oregon,"Number of health agencies serving jurisdictions of 250,000+ population",0,Leadership,agencies,With a dental program directed by a dental professional with graduate degree in public health,"Number of health agencies serving jurisdictions of 250,000+ population: With a dental program directed by a dental professional with graduate degree in public health"
2019,GA,Georgia,Prevention Programs,Yes,Programs,,Dental screening programs,Prevention Programs: Dental screening programs
2015,AR,Arkansas,Statutory requirement or authority,Yes,Leadership,,For oral health program,Statutory requirement or authority: For oral health program
2018,OK,Oklahoma,"Number of health agencies serving jurisdictions of 250,000+ population",4,Leadership,agencies,Total,"Number of health agencies serving jurisdictions of 250,000+ population: Total"
